 ! Swift/XRT detailed lightcurve of trigger: 1088940, name: GRB 211211A
 ! T0 for this burst is Swift MET=660921027.84 s, = 2021 Dec 11 at 13:09:59.602 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: GRB-like (counts)
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
263.573	0.524	-0.571	4.485416e+01	6.946128e+00	-6.946728e+00	1.173449e+00	8.297534e-01	1.000000
264.669	0.665	-0.573	4.079786e+01	6.082380e+00	-6.083025e+00	0.000000e+00	0.000000e+00	1.000000
266.068	0.693	-0.734	3.489402e+01	5.301619e+00	-5.302190e+00	4.499189e-01	4.499189e-01	1.000000
267.486	0.727	-0.724	3.477120e+01	5.184072e+00	-5.184769e+00	0.000000e+00	0.000000e+00	1.000000
268.866	0.730	-0.652	3.599595e+01	5.469246e+00	-5.469999e+00	4.644020e-01	4.644020e-01	1.000000
270.171	0.770	-0.575	3.753033e+01	5.595492e+00	-5.596289e+00	0.000000e+00	0.000000e+00	1.000000
271.772	0.781	-0.831	3.131711e+01	4.669039e+00	-4.669619e+00	0.000000e+00	0.000000e+00	1.000000
273.246	0.842	-0.694	3.287752e+01	4.901622e+00	-4.902185e+00	0.000000e+00	0.000000e+00	1.000000
275.042	0.709	-0.954	2.948035e+01	4.565394e+00	-4.565837e+00	7.718525e-01	5.457821e-01	1.000000
276.493	0.862	-0.741	3.149388e+01	4.695245e+00	-4.695705e+00	0.000000e+00	0.000000e+00	1.000000
278.123	0.635	-0.768	3.547308e+01	5.389573e+00	-5.390133e+00	4.573334e-01	4.573334e-01	1.000000
